induction_title,induction_description,induction_is_active,induction_display_order,chapter_title,chapter_description,chapter_video_url,chapter_display_order,pass_percentage,question_text,question_type,question_options,question_correct_answer,question_display_order
Demo Induction,Demo induction covering safety basics,1,1,Chapter 14: Manual Handling,Lifting,https://example.com/video14,14,70,Bend at?,single_choice,"Knees|Back|Neck",Knees,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 14: Manual Handling,Lifting,https://example.com/video14,14,70,Keep load?,single_choice,"Close|Far|Above head",Close,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 14: Manual Handling,Lifting,https://example.com/video14,14,70,If too heavy?,single_choice,"Ask help|Force lift|Ignore",Ask help,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 14: Manual Handling,Lifting,https://example.com/video14,14,70,Use what for heavy loads?,single_choice,"Trolley|Hands|Chair",Trolley,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 14: Manual Handling,Lifting,https://example.com/video14,14,70,Plan path?,single_choice,"Yes|No|Guess",Yes,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 15: Driving Safety,Vehicle use,https://example.com/video15,15,70,Seatbelts?,single_choice,"Always|Sometimes|Never",Always,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 15: Driving Safety,Vehicle use,https://example.com/video15,15,70,Phone use?,single_choice,"Hands-free only|Any|None",Hands-free only,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 15: Driving Safety,Vehicle use,https://example.com/video15,15,70,Speed limits?,single_choice,"Follow posted|Ignore|Guess",Follow posted,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 15: Driving Safety,Vehicle use,https://example.com/video15,15,70,Pre-trip check?,single_choice,"Yes|No|Sometimes",Yes,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 15: Driving Safety,Vehicle use,https://example.com/video15,15,70,Fatigue breaks?,single_choice,"Take regularly|Skip|Only night",Take regularly,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 16: Working at Heights,Safety,https://example.com/video16,16,70,Use fall protection above?,single_choice,"2m|10m|Never",2m,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 16: Working at Heights,Safety,https://example.com/video16,16,70,Inspect harness?,single_choice,"Before use|Yearly|Never",Before use,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 16: Working at Heights,Safety,https://example.com/video16,16,70,Anchor points must be?,single_choice,"Certified|Any|Movable",Certified,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 16: Working at Heights,Safety,https://example.com/video16,16,70,Weather check?,single_choice,"Yes|No|Maybe",Yes,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 16: Working at Heights,Safety,https://example.com/video16,16,70,Rescue plan?,single_choice,"Required|Optional|None",Required,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 17: Confined Spaces,Entry,https://example.com/video17,17,70,Permit required?,single_choice,"Yes|No|Sometimes",Yes,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 17: Confined Spaces,Entry,https://example.com/video17,17,70,Atmosphere testing?,single_choice,"Before entry|After|Never",Before entry,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 17: Confined Spaces,Entry,https://example.com/video17,17,70,Attendant required?,single_choice,"Yes|No|Optional",Yes,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 17: Confined Spaces,Entry,https://example.com/video17,17,70,Communication method?,single_choice,"Agreed method|None|Random",Agreed method,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 17: Confined Spaces,Entry,https://example.com/video17,17,70,Rescue plan?,single_choice,"Required|Optional|None",Required,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 18: Hot Work,Permits,https://example.com/video18,18,70,Hot work permit?,single_choice,"Yes|No|Sometimes",Yes,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 18: Hot Work,Permits,https://example.com/video18,18,70,Fire watch duration?,single_choice,"30 min after|None|5 min",30 min after,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 18: Hot Work,Permits,https://example.com/video18,18,70,Sparks control?,single_choice,"Use guards|Ignore|Water only",Use guards,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 18: Hot Work,Permits,https://example.com/video18,18,70,Combustibles should be?,single_choice,"Removed|Left|Hidden",Removed,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 18: Hot Work,Permits,https://example.com/video18,18,70,Extinguisher nearby?,single_choice,"Yes|No|Optional",Yes,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 19: Environmental,Spill response,https://example.com/video19,19,70,Report environmental spill?,single_choice,"Immediately|Later|Never",Immediately,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 19: Environmental,Spill response,https://example.com/video19,19,70,Use spill kit?,single_choice,"Yes|No|Optional",Yes,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 19: Environmental,Spill response,https://example.com/video19,19,70,Prevent drains contamination?,single_choice,"Yes|No|Ignore",Yes,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 19: Environmental,Spill response,https://example.com/video19,19,70,Dispose waste per?,single_choice,"Procedure|Any|Trash",Procedure,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 19: Environmental,Spill response,https://example.com/video19,19,70,Who to notify?,single_choice,"Environmental lead|Random|Friend",Environmental lead,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 20: Security,Access control,https://example.com/video20,20,70,Badges must be?,single_choice,"Visible|Hidden|Shared",Visible,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 20: Security,Access control,https://example.com/video20,20,70,Report tailgating?,single_choice,"Yes|No|Ignore",Yes,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 20: Security,Access control,https://example.com/video20,20,70,Visitor escort?,single_choice,"Required|Optional|Never",Required,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 20: Security,Access control,https://example.com/video20,20,70,Lost badge action?,single_choice,"Report immediately|Ignore|Share others",Report immediately,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 20: Security,Access control,https://example.com/video20,20,70,Data on desks?,single_choice,"Secure|Public|Unattended",Secure,5

